"Position","Name","Age Group","Flag","time","Global ranking points","id"
"#64","JUHEN Nicolas",NA,NA,"3:50.35,1","N/A",1258
"#65","Joly Félicien",NA,NA,"3:51.04,0","N/A",1258
"#66","ABRAHAM Patrick",NA,NA,"3:51.20,1","N/A",1258
"#67","GREGOIRE Philippe",NA,NA,"3:51.32,1","N/A",1258
"#68","RADL Jakub",NA,NA,"3:52.14,7","N/A",1258
"#69","Faivre Benjamin",NA,NA,"3:52.22,0","N/A",1258
"#70","VERGUET Cédric",NA,NA,"3:52.46,6","N/A",1258
"#71","Rezvoy Benoit",NA,NA,"3:53.00,8","N/A",1258
"#72","DAVID-RAISON Jocelyn",NA,NA,"3:53.25,5","N/A",1258
"#73","AMIOTTE Joël",NA,NA,"3:53.26,9","N/A",1258
"#74","FORESTIER Matthias",NA,NA,"3:53.26,9","N/A",1258
"#75","Brunner Toni",NA,NA,"3:53.28,3","N/A",1258
"#76","GENSSE Jeremy",NA,NA,"3:53.29,0","N/A",1258
"#77","Montandon Michaël",NA,NA,"3:53.30,0","N/A",1258
"#78","GERBER Hansjürg",NA,NA,"3:53.32,1","N/A",1258
"#79","Bonnot Emmanuel",NA,NA,"3:53.41,7","N/A",1258
"#80","SAUVAGET Arnaud",NA,NA,"3:53.53,1","N/A",1258
"#81","Blondeau Aurélien",NA,NA,"3:54.17,3","N/A",1258
"#82","Faivre Hervé",NA,NA,"3:54.40,1","N/A",1258
"#83","Jacquot Corentin",NA,NA,"3:54.45,7","N/A",1258
"#84","Jacquet Alexandre",NA,NA,"3:54.56,1","N/A",1258
"#85","Sorokin Aleksandr",NA,NA,"3:55.39,4","N/A",1258
"#86","MEIER Christophe",NA,NA,"3:56.16,7","N/A",1258
"#87","Vallat Maël",NA,NA,"3:56.51,6","N/A",1258
"#88","DEMATTIO Diego",NA,NA,"3:56.56,8","N/A",1258
"#89","Gasche Christoph",NA,NA,"3:57.00,9","N/A",1258
"#90","Maignant Yann",NA,NA,"3:57.01,4","N/A",1258
"#91","Vermeulen Julien",NA,NA,"3:57.01,4","N/A",1258
"#92","MOYSE Pascal",NA,NA,"3:57.02,8","N/A",1258
"#93","BURRI Jimmy",NA,NA,"3:57.05,5","N/A",1258
"#94","BESCHET Vivien",NA,NA,"3:57.07,7","N/A",1258
"#95","David-Raison Thierry",NA,NA,"3:57.08,9","N/A",1258
"#96","Thevenard Jean-Marie",NA,NA,"3:57.10,3","N/A",1258
"#97","BOURDIN Jérôme",NA,NA,"3:57.11,6","N/A",1258
